eeschema (2013-mar-13)-testing  >> Creation date: Mon 17 Jun 2013 04:57:12 PM CEST

#Cmp ( order = Value )
| ANTENNA      ANT1      ; ~           
| 2p           C8        ; SM0603S     
| 2p           C11       ; SM0603S     
| 12p          C13       ; SM0603S     
| 12p          C14       ; SM0603S     
| 10n          C7        ; SM0603S     
| 10n          C22       ; SM0603S     
| 100n         C1        ; SM0603S     
| 100n         C4        ; SM0603S     
| 100n         C5        ; SM0603S     
| 100n         C6        ; SM0603S     
| 100n         C9        ; SM0603S     
| 100n         C10       ; SM0603S     
| 470nF        C12       ; SM0603S     
| 1u           C3        ; SM0603S     
| 4.7u         C2        ; SM0603S     
| 12n          L1        ; SM0603S     
| CONN_12      P1        ; pin_array_12x1
| CONN_12      P2        ; pin_array_12x1
| CONN_5       P3        ; pin_array_5x1
| CONN_6       P4        ; PIN_ARRAY_6X1
| 4k7          R1        ; SM0603S     
| 4k7          R2        ; SM0603S     
| 47k          R4        ; SM0603S     
| 56k(1%)      R3        ; SM0603S     
| 32.768KHz    RS1       ; EPSON_F-135 
| 0868BM15C0001 U2        ; JTI_Balun   
| 24AA02       U3        ; SOT23-5     
| CC430F5137   U1        ; VQFN48      
| 26MHz        X1        ; ABM8        
#End Cmp

#End List
